participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
103,,1,79,25,40,1,0,1,1,1,1,0,-1,1,1,1,1,1,,-1,0,0,-1,-1,-1,-1,-1,-1,1,0,-1,-1,,1,1,1,-1,0,-1,1,1,-1,0,1,0,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,1,1,0,-1,1,,-1,1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,1,1
108,,0,38,22,2,1,0,1,1,0,0,-1,1,1,1,0,0,1,,1,1,1,-1,1,1,1,1,1,0,1,0,0,,0,0,0,1,1,0,1,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,1,37,14,3,0,1,1,0,0,1,-1,-1,0,1,1,1,0,,1,1,0,0,1,1,0,1,0,0,1,0,0,,1,0,0,0,-1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,0,9,3,0,1,,,0,,0,,,,1,,,,,,,0,,,,,0,,,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,0,36,30,2,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,0,0,-1,1,1,1,1,1,1,1,0,1,,1,1,1,1,1,1,1,-1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,0,17,9,2,1,,,,,,,0,,1,1,1,,,,-1,,-1,,1,,,,,1,0,0,,1,0,1,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,0,35,26,6,1,1,,1,,-1,0,1,1,1,1,1,1,,1,1,,-1,1,1,1,1,-1,1,1,-1,1,,1,1,-1,0,1,1,1,-1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,0,2,2,0,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,0,38,16,0,1,0,1,1,0,0,0,1,0,1,1,0,1,,1,0,0,0,0,1,0,1,0,0,0,0,0,,0,1,1,1,0,1,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,0,38,34,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,0,1,1,-1,-1,1,1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,0,38,32,5,1,1,1,1,1,1,-1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,-1,1,1,-1,1,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,0,20,14,3,1,1,,,,-1,,,1,,,,1,,1,1,1,,,,,1,0,1,,-1,,,1,0,-1,1,1,1,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,1,39,18,4,0,0,0,0,-1,0,0,1,1,1,1,1,1,,1,1,0,-1,0,1,0,0,0,0,0,1,-1,,1,1,1,1,1,0,0,0,0,-1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,0,57,43,9,1,1,1,1,1,1,0,1,1,1,1,1,1,,1,1,1,-1,-1,1,1,1,1,1,1,0,1,,1,1,1,0,1,1,-1,1,0,-1,1,1,1,-1,1,1,1,0,1,-1,1,1,1,-1,1,1,1,-1,1,-1,1,,,,,,,,,,,,,,,,,,,,,,,
146,,0,59,37,0,1,1,1,1,1,1,0,1,1,1,1,0,1,,1,1,0,0,1,1,1,1,0,1,0,0,1,,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,
149,,0,59,34,1,1,0,1,1,0,1,-1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,0,1,1,0,0,,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,
151,,0,53,16,2,1,0,1,0,0,0,0,,0,0,0,1,1,,0,1,0,-1,1,1,,1,0,0,1,0,0,,0,0,0,1,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,-1,0,,0,,1,0,0,0,1,,0,1,1,,,,,,,,,,,,,,,,,,,,,
156,,0,59,59,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
157,,0,56,36,3,1,1,1,0,1,1,0,1,1,1,1,0,1,,1,1,1,0,1,1,,1,0,1,1,0,0,,0,0,,1,0,1,0,0,0,-1,1,0,0,1,0,1,1,1,1,,0,-1,1,1,1,1,-1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
159,,0,60,51,6,1,1,1,1,-1,1,1,1,1,1,1,0,1,,1,1,1,-1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,-1,0,1,1,-1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,1,1,1,1,1,,-1,,,,,,,,,,,,,,,,,,,
161,,0,21,21,0,1,,1,,,1,1,,1,1,1,1,,,,,1,,1,,,,,,,,1,,1,1,,,,,1,,,,1,,,1,,,1,,1,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
162,,0,61,44,3,0,1,1,1,1,-1,0,1,1,1,1,1,1,,1,1,1,-1,0,1,1,1,1,1,-1,1,1,,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,1,1,,1,0,,,,,,,,,,,,,,,,,,
164,,0,61,47,14,1,1,1,1,-1,1,1,1,1,1,1,1,1,,1,1,1,-1,1,1,1,1,1,1,1,-1,1,,1,1,-1,1,1,-1,1,1,1,-1,1,1,1,-1,1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,-1,1,1,1,1,,-1,1,,,,,,,,,,,,,,,,,,
165,,2,78,56,10,0,1,1,1,1,1,0,1,1,0,1,1,1,,-1,1,1,-1,0,1,1,1,0,0,1,1,-1,,1,1,1,1,1,0,1,1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,-1,1,1,1,1,1,1,1,1,1,,1,0,1,1,1,-1,0,0,1,0,1,1,1,1,-1,0,1,1,1,
167,,0,57,48,9,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,-1,1,,1,1,-1,1,1,1,1,,1,1,,-1,1,1,1,1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,,1,,1,1,,,,,,,,,,,,,,,,,,
169,,0,50,31,5,1,1,1,1,0,1,1,0,1,1,1,,1,,0,1,,-1,0,,,0,1,,1,1,-1,,1,0,,0,1,1,1,1,,0,0,,0,1,1,1,,0,0,-1,0,,0,1,1,1,-1,1,1,,1,1,1,,-1,,1,,,,,,,,,,,,,,,,,
170,,14,77,54,11,1,1,1,1,-1,-1,0,0,1,1,1,0,1,,-1,1,1,-1,1,1,1,0,0,1,1,1,1,,1,1,-1,0,1,1,1,1,1,-1,1,1,1,-1,1,1,0,0,-1,-1,0,-1,0,-1,0,1,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
175,,0,28,15,0,1,1,,,,0,,,1,,1,,1,,,,,,1,0,0,0,0,,,,,,,,,,,,,1,1,0,0,1,,,0,,0,,0,0,,,,0,,0,1,,,,1,,,,,,,,1,,,,,,,,,1,,1,1,,,
176,,0,78,35,2,0,1,0,1,0,0,0,1,1,1,1,0,1,,0,1,0,-1,0,1,0,0,0,0,1,0,0,,1,0,0,1,1,1,1,-1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,
178,,0,10,10,0,1,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,1,,,,,,,,
183,,0,78,69,0,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,
19,,0,3,0,0,,0,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,0,9,5,1,,1,,,,,,,,,1,,1,0,,,0,-1,,,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,0,15,9,2,,1,-1,,0,,,,1,1,,0,1,,,,,-1,1,1,1,1,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,0,3,2,0,,1,,,,,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,0,3,0,0,,0,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,0,24,19,2,,1,,1,,,1,1,1,1,,1,1,,1,,0,-1,1,,0,1,1,1,1,0,,,1,,1,1,,1,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,0,5,3,0,,0,1,,1,,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,0,27,23,0,,1,1,1,0,1,0,1,,1,1,,1,,1,1,1,,1,1,1,1,1,1,,1,,,1,1,1,,,1,0,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,0,22,16,3,,1,,1,,1,-1,1,,,1,1,,,1,,,-1,,1,1,1,,,1,0,,,,1,1,,0,1,1,1,,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,0,23,12,4,,1,,0,-1,-1,0,1,1,,1,0,1,,,1,1,,,1,,,,0,0,-1,,,,0,,1,1,,,1,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,0,2,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,0,24,8,1,,0,1,0,,,-1,1,,,,,,,,,0,,,1,1,1,0,,1,0,,,,,0,,0,,0,1,0,0,,,,1,,,0,0,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,0,48,38,10,,1,1,1,1,1,-1,1,1,1,1,1,,,,,1,-1,1,1,,,1,,1,,1,,1,1,1,1,1,-1,-1,,-1,1,1,1,-1,1,1,1,1,-1,,1,-1,-1,1,1,1,1,-1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
148,,0,15,11,0,,1,,1,,0,1,,,,,,,,,,,,1,,,,,,,,0,,,,0,1,,1,,,,1,,,,,,1,,,,,0,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,
22,,0,3,1,0,,,0,,,,,,,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,0,11,7,2,,,1,,,0,,,,,,,,1,1,,,1,1,0,1,-1,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,0,1,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
